Acc.No,Acc.Date,Title,Author,Publisher,Callno,price
1,06-12-2004,DEWEY DECIMAL CLASSIFICATION: VOLI- INTRODUCTION TABLES,MELVIL DEWEY,OCLC ONLINE COMP,025.431  DEW/DEW I,1500
2,06-12-2004,DEWEY DECIMAL CLASSIFICATION: VOLII- SCHEDULES,MELVIL DEWEY,OCLC ONLINE COMP,025.431  DEW/DEW II,1500
3,06-12-2004,DEWEY DECIMAL CLASSIFICATION: VOLIII- INDEX,MELVIL DEWEY,OCLC ONLINE COMP,025.431  DEW/DEW III,1500
4,06-12-2004,A TEXT BOOK OF ENGINEERING MECHANICS : VOL 1 STATICS,EMS NAIR,EPD,620.1  NAI/TEX,120
5,06-12-2004,A TEXT BOOK OF ENGINEERING MECHANICS : VOL 1 STATICS,EMS NAIR,EPD,620.1  NAI/TEX 1,120
6,06-12-2004,PHYSICS FOR ENGINEERS,B PREMLET,PHASOR BOOKS,530  PRE/PHY,130
7,06-12-2004,PHYSICS FOR ENGINEERS,B PREMLET,PHASOR BOOKS,530  PRE/PHY 1,130
8,06-12-2004,UNDERSTANDING DATA COMMUNICATIONS AND NETWORKS,WILLIAM A SHAY,BOOKS/COLE PUB,005.71  SHA/UND,350
9,06-12-2004,UNDERSTANDING DATA COMMUNICATIONS AND NETWORKS,WILLIAM A SHAY,BOOKS/COLE PUB,005.71  SHA/UND 1,350
10,06-12-2004,INDUSTRIAL ELECTRONICS,PAUL B ZBAR,TATA MCGRAW-HILL PB,629  ZBA/IND,175
11,06-12-2004,INDUSTRIAL ELECTRONICS,PUAL B ZBAR,TATA MCGRAW HILL PB,629  ZBA/IND 1,175
12,06-12-2004,NETWORK ANALYSIS & SYNTHESIS,FRANKLIN F KUO,JOHN WILEY & SONS,621.319 2  KUO/NET,297.5
13,06-12-2004,NETWORK ANALYSIS & SYNTHESIS,FRANKLIN F KUO,JOHN WILEY & SONS,621.319 2  KUO/NET 1,297.5
14,06-12-2004,ELECTRONIC ENGINEERING MATERIALS AND DEVICES,JOHN ALLISON,TATA MCGRAW-HILL PUB,621.381 5  ALL/ELE,120
15,06-12-2004,SCHAUMS OUTLINE OF THEORY AND PROBLEMS OF ELECTROMAGNETICS,JOSEPH A EDMINISTER,SCHAUMS,530.141  EDM/SCH,236
16,06-12-2004,ENGINEERING THERMODYNAMICS: WORK AND HEAT TRANSFER,GFC ROGERS ,ELBS,621.402 1  ROG/ENG,306
17,06-12-2004,COMMUNICATION SYSTEMS,SIMON HAYKIN,JOHN WILEY,621.382  HAY/COM,444
18,06-12-2004,COMPUTER SYSTEM ARCHITECTURE,M MORRIS MANO,PHI,004.22  MAN/COM,175
19,06-12-2004,"PULSE,DIGITAL AND SWITCHING WAVEFORMS",JACOB MILLMAN ,TMH,621.381 53  MIL/PUL,240
20,06-12-2004,MODERNS FILTERS,SIMON HAYKIN,MACMILLAN,621.381 5  HAY/MOD,420
21,06-12-2004,OPTICAL COMMUNICATION SYSTEMS,JOHN GOWAR,PHI,621.369  GOW/OPT,225
22,06-12-2004,SEMICONDUCTOR CIRCUIT APPROXIMATIONS,ALBERT PAUL MALVINO,TMH,621.381 53  MAL/SEM,175
23,06-12-2004,AN INTRODUCTION TO COMPUTER STUDIES,NOEL KALICHARAN,CAMBRIDGE,004.1  KAL/INT,165
24,06-12-2004,"THE INTEL MICROPROCESSORS 8086/8088,80186/80188,80286,80386,80486,PENTIUM,AND PENTIUM,PRO PROCESSOR",BARRY B BREY,PHI,004.16  BRE/INT,325
25,06-12-2004,THYRISTORS: THEORY AND APPLICATIONS,RAJENDRA KUMAR SUGANDHI ,NEW AGE INTERNATIONAL,621.381 52  SUG/THY,150
26,06-12-2004,DIGITAL AND ANALOG COMMUNICATION SYSTEMS,LEON W COUCH II,MACMILLIAN,621.38  COU/DIG,642.5
27,06-12-2004,DIGITAL SIGNAL PROCESSING,ALAN V OPPENHEIM ,PHI,621.380 43  OPP/DIG,225
28,06-12-2004,DATA STRUCTURES AND ALGORITHMS,ALFRED V AHO,PEARSON EDUCATION,005.73  AHO/DAT,250
29,06-12-2004,AN INTRODUCTION TO THE INTEL FAMILY OF MICROPROCESSORS: A HANDS-ON APPROACH +F UTILIZING THE 80 X 86,JAMES L ANTONAKOS,PEARSON EDUCATION,004.16  ANT/INT,395
30,06-12-2004,ELEMENTS OF DISCRETE MATHEMATICS,CL LIU,TMH,511  LIU/ELE,175
31,06-12-2004,SIGNALS AND SYSTEMS : CONTINOUS AND DISCRETE,RODGER E ZIEMER,PEARSON EDUCATION,621.380 431  ZIE/SIG,350
32,06-12-2004,"INTRODUCTION TO TELECOMMUNICATIONS: VOICE, DATA AND THE INTERNET",MARION COLE,PEARSON EDUCATION,621.382  COL/INT,295
33,06-12-2004,ELECTRONIC CIRCUITS: DISCRETE AND INTEGRATED,DONALD L SCHILLING,MH,621.381 5  SCH/ELE,335
34,06-12-2004,TELEVISION AND VIDEO ENGINEERING,ARAVIND M DHAKE,TMH,621.388  DHA/TEL,195
35,06-12-2004,TELEVISION AND VIDEO ENGINEERING,ARAVIND M DHAKE,TMH,621.388  DHA/TEL 1,195
36,06-12-2004,ELECTRICAL MEASUREMENTS AND MEASURING INSTRUMENTS,EW GOLDING ,WHEELER PUB,621.37  GOL/ELE,230
37,06-12-2004,NETWORKS AND SYSTEMS,D ROY CHOUDHURY,NEW AGE INTERNA,621.319 2  CHO/NET,255
38,06-12-2004,NETWORKS AND SYSTEMS,D ROY CHOUDHURY,NEW AGE INTERNA,621.319 2  CHO/NET 1,255
39,06-12-2004,BASIC CIVIL & MECHANICAL ENGINEERING,LS JAYAGOPAL ,VIKAS PUB,624  JAY/BAS,120
40,06-12-2004,BASIC CIVIL & MECHANICAL ENGINEERING,LS JAYAGOPAL ,VIKAS PUB,624  JAY/BAS 1,120
41,06-12-2004,C LANGUAGE AND NUMERICAL METHODS,C XAVIER,NEW AGE INTERNA,005.133 C  XAV/CLA,270
42,06-12-2004,APPLIED MECHANICS,J HANNAH ,ELBS,620.1  HAN/APP,366
43,06-12-2004,ELECTRONIC INSTRUMENTATION,HS KALSI,TMH,621.381 54  KAL/ELE,160
44,06-12-2004,ELECTRONIC INSTRUMENTATION,HS KALSI,TMH,621.381 54  KAL/ELE 1,160
45,06-12-2004,ELECTRONIC INSTRUMENTATION,HS KALSI,TMH,621.381 54  KAL/ELE 2,160
46,06-12-2004,ELECTRONIC INSTRUMENTATION,HS KALSI,TMH,621.381 54  KAL/ELE 3,160
47,06-12-2004,OPTICS,AJOY GHATAK,TMH,535  GHA/OPT,185
48,06-12-2004,OPTICS,AJOY GHATAK,TMH,535  GHA/OPT 1,185
49,06-12-2004,OPTICS,AJOY GHATAK,TMH,535  GHA/OPT 2,185
50,06-12-2004,CIRCUITS AND NETWORKS: ANALYSIS AND SYNTHESIS,A SUDHAKAR,TMH,621.3192 SUD/CIR,175
51,06-12-2004,ELECTRONIC CIRCUITS AND SYSTEMS: ANALOG AND DIGITAL,YN BAPAT,TMH,621.39  BAP/ELE,155
52,06-12-2004,ENGINEERING MATHEMATICS: VOLII,SS SASTRY,PHI,510  SAS/ENG 10,225
53,06-12-2004,THE CONTROL HAND BOOK,WILLIAM S LEVINE,CRE/IEEE PRESS,629.8  LEV/CON,6279
54,01-07-2015,SCHAUM`S THEORY AND PROBLEMS OF PROGRAMMING WITH C,BYSON S. GOTTFRIED,TMH,005.133C GOT/SCH,245
55,01-07-2015,SCHAUM`S THEORY AND PROBLEMS OF PROGRAMMING WITH C,BYSON S. GOTTFRIED,TMH,005.133 C  GOT/SCH 1,
56,01-07-2015,DIGITAL PRINCIPLES AND APPLICATIONS,ALBERT PAUL MALVINO ,MH,621.39  MAL/DIG,185
57,01-07-2015,DIGITAL PRINCIPLES AND APPLICATIONS,ALBERT PAUL MALVINO ,MH,621.39  MAL/DIG 1,185
58,01-07-2015,DIGITAL PRINCIPLES AND APPLICATIONS,ALBERT PAUL MALVINO ,MH,621.39  MAL/DIG 2,185
59,01-07-2015,DIGITAL PRINCIPLES AND APPLICATIONS,ALBERT PAUL MALVINO ,MH,621.39  MAL/DIG 3,
60,01-07-2015,DIGITAL PRINCIPLES AND APPLICATIONS,ALBERT PAUL MALVINO ,MH,621.39  MAL/DIG 4,
61,01-07-2015,DIGITAL DESIGN,M MORRIS MANO,PHI,621.39  MAN/DIG,
62,01-07-2015,NETWORK ANALYSIS,ME VAN VALKENBURG,PHI,621.319 2  VAL/NET,
63,01-07-2015,NETWORK ANALYSIS,ME VAN VALKENBURG,PHI,621.319 2  VAL/NET 1,
64,01-07-2015,OPTOELECTRONICS: AN INTRODUCTION,J WILSON ,PHI,537.5  WIL/OPT,
65,01-07-2015,UNIVERSITY PHYSICS,FRANCIS W. SEARA,,004.16  SEA/UNI,
66,06-12-2004,ELECTRONIC COMMUNICATION SYSTEMS,GEORGE KENNEDY ,TMH,621.382  KEN/ELE,260
67,06-12-2004,ELECTRONIC COMMUNICATION SYSTEMS,GEORGE KENNEDY ,TMH,621.382  KEN/ELE 1,260
68,06-12-2004,INTRODUCTION TO BIOMEDICAL EQUIPMENT TECHNOLOGY,JOSEPH J CARR ,PEARSON EDUCATION,610.28  CAR/INT 2,450
69,06-12-2004,ELECTRONIC DEVICES AND CIRCUITS,JACOB MILLMAN ,TMH,621.381 5  MIL/ELE,210
70,06-12-2004,INTRODUCTION TO DIGITAL AND DATA COMMUNICATIONS,MICHAEL A MILLER,JAICO PUB,005.71  MIL/INT,150
71,06-12-2004,A TEXT BOOK OF ELECTRONICS,SL KAKANI ,NEW AGE INTERNA,621.381  KAK/TEX,235
72,06-12-2004,MODERN ELECTRONIC INSTRUMENTATION AND MEASUREMENT TECHNIQUES,ALBERT D HELFRICK ,PHI,621.381 54  HEL/MOD,125
73,06-12-2004,MODERN ELECTRONIC INSTRUMENTATION AND MEASUREMENT TECHNIQUES,ALBERT D HELFRICK ,PHI,621.381 54  HEL/MOD 1,125
74,06-12-2004,DIGITAL LOGIC AND COMPUTER DESIGN,M MORRIS MANO,PHI,004.11  MAN/DIG,195
75,06-12-2004,ENGINEERING MECHANICS,SS BHAVIKATTI ,NEW AGE INTERNA,620.1  BHA/ENG,225
76,06-12-2004,ENGINEERING MECHANICS,SS BHAVIKATTI ,NEW AGE INTERNA,620.1  BHA/ENG 1,225
77,06-12-2004,BASIC ELECTRONICS AND LINEAR CIRCUITS,NN BHARGAVA ,TMH,621.381 5  BHA/BAS,140
78,06-12-2004,INTRODUCTION TO MICROPROCESSORS,ADITYA P MATHUR,TMH,004.16  MAT/INT,175
79,06-12-2004,WIDEBAND WIRLESS DIGITAL COMMUNICATIONS,ANDREAS F MOLISCH,PEARSON EDUCATION,621.384  MOL/WID,350
80,06-12-2004,COMPUTER FUNDAMENTALS,B RAM,NEW AGE INTERNA,004.1  RAM/COM,210
81,06-12-2004,COMPUTER FUNDAMENTALS,B RAM,NEW AGE INTERNA,004.1  RAM/COM 1,210
82,06-12-2004,DIGITAL AND ANALOG COMMUNICATION SYSTEMS,K SAM SHANMUGAM,JOHN WILEY,621.38  SHA/DIG,273
83,06-12-2004,LINEAR INTEGRATED CIRCUITS,D ROY CHOUDHURY ,NEW AGE INTERNA,621.392  CHO/LIN,175
84,06-12-2004,DIGITAL DESIGN,M MORRIS MANO,PHI,621.39  MAN/DIG,175
85,06-12-2004,FUNDAMENTALS OF PHYSICS,DAVID HALLIDAY,JOHN WILEY,530  HAL/FUN,471
86,06-12-2004,FUNDAMENTALS OF PHYSICS,DAVID HALLIDAY,JOHN WILEY,530  HAL/FUN 1,471
87,06-12-2004,COMMUNICATION SYSTEMS,A BRUCE CARLSON,MGH,621.382  CAR/COM,444
88,06-12-2004,PRINCIPLES OF DIGITAL AND ANALOG COMMUNICATIONS,JERRY D GIBSON,MACMILLAN PUB,621.38  GIB/PRI,444
89,06-12-2004,ELECTRONIC FUNDAMENTALS AND APPLICATIONS,JOHN D RYDER,PHI,621.381  RYD/ELE,150
90,06-12-2004,FURTHER ENGINEERING MATHEMATICS,KA STROUD,MACMILLAN,510  STR/FUR,560
91,06-12-2004,CALCULAS AND ANALYTIC GEOMETRY,GEORGE B THOMAS,ADDISON WESLEY,515.33  THO/CAL,495
92,06-12-2004,0000 TO 8085 INTRODUCTION TO MICROPROCESSORS FOR ENGINEERS AND SCIENTISTS,PK GHOSH ,PHI,PK   PK /000,225
93,06-12-2004,0000 TO 8085 INTRODUCTION TO MICROPROCESSORS FOR ENGINEERS AND SCIENTISTS,PK GHOSH ,PHI,004.16  GHO/ZER 1,225
94,06-12-2004,ELECTRONIC DEVICES AND CIRCUITS,THEODORE F BOGART,UBS,621.381 5  BOG/ELE,295
95,06-12-2004,THE COMPUTER SCIENCE AND ENGINEERING : HAND BOOK,ALLLEN B TUCKER,CRC,004  TUC/COM,7176
96,06-12-2004,ELECTRONIC DEVICES AND CIRCUITS: AN INTRODUCTION,ALLEN MOTTERSHEAD,PHI,621.381 5  MOT/ELE,175
97,06-12-2004,ENGINEERING THERMODYNAMICS: WORK AND HEAT TRANSFER,GFC ROGERS ,ELBS,621.4021  ROG/ENG 1,306
98,06-12-2004,SEMICONDUCTOR OPTOELECTRONIC DEVICES,PALLAB BHATTACHARYA,PHI,537.5  BHA/SEM,225
99,06-12-2004,"POWER ELECTRONICS : CIRCUITS,DEVICES,AND APPLICATIONS",MUHAMMED H RASHID,PHI,621.313  RAS/POW,195
100,06-12-2004,A TEXT BOOK OF ELECTRONICS,SL KAKANI ,NEW AGE INTERNA,621.381  KAK/TEX 1,235
101,06-12-2004,MATHEMATICS FOR ENGINEERING : AN ACTIVE LEARNING APPROACH,DA CLARKE,DPP,510  CLA/MAT,621
102,06-12-2004,SIGNALS AND SYSTEMS,SIMON HAYKIN ,JOHN WILEY,621.380 431  HAY/SIG,392
103,06-12-2004,DIGITAL ELECTRONICS: AN INTRODUCTION TO THEORY AND PRACTICE,WILLIAM H GOTHAMANN,PHI,621.39  GOT/DIG,150
104,06-12-2004,DIGITAL INSTRUMENTATION,AJ BOUWENS,TMH,681.2  BOU/DIG,195
105,06-12-2004,"MICROPROCESSOR ARCHITECTURE, PROGRAMMING AND APPLICATIONS WITH THE 8085",RAMESH S GAONKAR,PIP,004.16  GAO/MIC,245
106,06-12-2004,DIGITAL IMAGE PROCESSING,RAFAEL C GONZALEZ,PHI,006.69  GON/DIG,350
107,06-12-2004,DIGITAL FILTERS AND SIGNAL PROCESSING IN ELECTRONIC ENGINEERING,SM BOZIC ,Horwood Pub,621.381 5  BOZ/DIG,1735
108,06-12-2004,DATA AND COMPUTER COMMUNICATIONS,WILLIAM STALLINGS,PEARSON EDUCATION,005.71  STA/DAT,250
109,06-12-2004,MATHS: A SELF - STUDY GUIDE,JENNY OLIVE,Cambridge Uni,510  OLI/MAT,200
110,06-12-2004,INTEGRATED ELECTRONICS: ANALOG AND DIGITAL CIRCUITS AND SYSTEMS,JACOB MILLMAN ,TMH,621.392 1  MIL/INT,245
111,06-12-2004,INTEGRATED ELECTRONICS: ANALOG AND DIGITAL CIRCUITS AND SYSTEMS,JACOB MILLMAN ,TMH,621.392 1  MIL/INT 1,245
112,06-12-2004,AN ENGINEERING APPROACH TO DIGITAL DESIGN,WILLIAM I FLETCHER,PHI,621.39  FLE/ENG,250
113,06-12-2004,AN ENGINEERING APPROACH TO DIGITAL DESIGN,WILLIAM I FLETCHER,PHI,621.39  FLE/ENG 1,250
114,06-12-2004,ELECTRONIC DEVICES AND CIRCUITS,DAVID A BELL,PHI,621.381 5  BEL/ELE,250
115,06-12-2004,ENGINEERING THERMODYNAMICS,PK NAG,TMH,621.4021 NAG/ENG,175
116,06-12-2004,MILLER & FREUNDS PROBABILITY AND STATISTICS FOR ENGINEERS,RICHARD A JOHNSON,PHI,519.2  JOH/MIL,195
117,06-12-2004,INTRODUCTION TO RADAR SYSTEMS,MERRILL I SKOLNIK,TMH,621.384 8  SKO/INT,275
118,06-12-2004,JAVA  2 : THE COMPLETE REFERENCE,HERBERT SCHILDT,TMH,005.133 J  SCH/JAV,395
119,06-12-2004,THE SPIRIT OF C: AN INTRODUCTION TO MODERN PROGRAMMING,HENRY MULLISH ,JAICO PUB,005.133 C  COO/SPI,255
120,06-12-2004,SIGNAL PROCESSING IN ELECTRONIC COMMUNICATION,MICHAEL J CHAPMAN,Horwood series,621.382  CHA/SIG,1908.5
121,06-12-2004,"IBM PC AND CLONES: HARDWARE,TROUBLESHOOTING AND MAINTENANCE",B GOVINDARAJALU,TMH,004.64  GOV/IBM,395
122,06-12-2004,ELECTRONIC DEVICES AND CIRCUIT THEORY,ROBERT L BOYLESTAD ,PHI,621.381 5  BOY/ELE,395
123,06-12-2004,ELECTRONIC DEVICES AND CIRCUIT THEORY,ROBERT L BOYLESTAD ,PHI,621.381 5  BOY/ELE 1,395
124,06-12-2004,THE CIRCUIT AND FILTERS: HAND BOOK,WAI KAI CHEN,CRE  & IEEE Press,621.3  CHE/CIR,6293
125,06-12-2004,MICROELECTRONICS,JACOB MILLMAN ,TMH,621.381 7  MIL/MIC,310.5
126,06-12-2004,MICROELECTRONICS,JACOB MILLMAN ,TMH,621.381 7  MIL/MIC 1,310.5
127,06-12-2004,SCHAUM`S OUTLINE OF THEORY AND PROBLEMS OF COLLEGE PHYSICS,FREDERICK J BUECHE ,Schaum`s,530  BUE/SCH,742
128,06-12-2004,MODERN DIGITAL ELECTRONICS,RP JAIN,TMH,621.39  JAI/MOD,180
129,06-12-2004,MEDICAL INSTRUMENTATION,JOHN G WEBSTER,Johm Wiley,610.28  WEB/MED,345
130,06-12-2004,THERMODYNAMICS AND HEAT POWER,IRVING GRANET ,Pearson Edu,621.402 1  GRA/THE,395
131,06-12-2004,DIGITAL COMMUNICATIONS,JOHN G PROAKIS,MH,621.38  PRO/DIG,496
132,06-12-2004,DISCRETE-TIME SIGNAL PROCESSING,ALAN V OPPENHEIM,PRENTICE HALL,621.380 43  OPP/DIS,345
133,06-12-2004,DATA STRUCTURES USING C AND C++,YEDIDYAH LANGSAM,PEARSON EDUCATION,005.73  LAN/DAT,225
134,06-12-2004,DATA STRUCTURES USING C AND C++,YEDIDYAH LANGSAM,PEARSON EDUCATION,005.73  LAN/DAT 1,225
135,06-12-2004,ELECTRONIC COMMUNICATIONS,DENNIS RODDY ,PHI,621.382  ROD/ELE,350
136,06-12-2004,ELECTRONIC COMMUNICATIONS,DENNIS RODDY ,PHI,621.382  ROD/ELE 1,350
137,06-12-2004,2000 SOLVED PROBLEMS IN ELECTRONICS,JIMMIE J CATHEY,MH,621.381  CAT/TWO,421.5
138,06-12-2004,2000 SOLVED PROBLEMS IN ELECTRONICS,JIMMIE J CATHEY,MH,621.381  CAT/TWO 1,421.5
139,06-12-2004,BASIC ELECTRONICS,BERNARD GROB,TMH,621.3  GRO/BAS,295
140,06-12-2004,BASIC ELECTRONICS,BERNARD GROB,TMH,621.3  GRO/BAS 1,295
141,06-12-2004,BASIC ELECTRONICS,BERNARD GROB,TMH,621.3  GRO/BAS 2,295
142,06-12-2004,SCHAUM`S OUTLINE OF THEORY AND PROBLEMS OF DATA STRUCTURES WITH JAVA,JOHN R HUBBARD,Schaum`s,005.73  HUB/DAT,840
143,06-12-2004,OP-AMPS AND LINEAR INTEGRATED CIRCUITS,RAMAKANT A GAYAKWAD,PHI,621.392  GAY/OPA,195
144,06-12-2004,DIGITAL SIGNAL PROCESSING,JOHN G PROAKIS ,PHI,621.380 43  PRO/DIG,295
145,06-12-2004,ELECTRONIC COMMUNICATIONS SYSTEMS,WAYNE TOMASI,Pearson Edu Asia,621.382  TOM/ELE,350
146,06-12-2004,COMPUTER ORGANIZATION AND DESIGN,P PAL CHAUDHURI,PHI,004.2  CHA/COM,350
147,06-12-2004,ELECTRONIC DEVICES AND CIRCUITS,JACOB MILLMAN ,TMH,621.381 5  MIL/ELE 1,210
148,06-12-2004,DIGITAL COMMUNICATIONS SYSTEMS WITH SATTELITE AND FIBER OPTICS APPLICATIONS,HAROLD KOLIMBIRIS,Pearson Edu Asia,621.38  KOL/DIG,295
149,06-12-2004,FUNDAMENTALS OF DIGITAL IMAGE PROCESSING,ANIL K JAIN,PHI,006.69  JAI/FUN,225
150,06-12-2004,MICROWAVE ENGINEERING,DAVID M POZAR,JOHN WILEY,621.381 3  POZ/MIC,345
151,06-12-2004,FUNDAMENTALS OF COMPUTERS,V RAJARAMAN,PHI,004.1  RAJ/FUN,125
152,06-12-2004,ENGINEERING MECHANICS: STATICS AND DYNAMICS,MS PALANICHAMY ,TMH,620.1  PAL/ENG,215
153,06-12-2004,FIBER-OPTIC COMMUNICATIONS TECHNOLOGY,DJAFAR K MYNBAEV,PEARSON EDUCATION,621.369  MYN/FIB,395
154,06-12-2004,COLLEGE PHYSICS,ROBERT L WEBER,TMH,530  WEB/COL,225
155,06-12-2004,MICROPROCESSORS AND INTERFACING: PROGRAMMING AND HARDWARE,DOUGLAS V HALL,TMH,004.16  HAL/MIC,275
156,06-12-2004,SCHAUMS OUTLINE OF THEORY AND PROBLEMS OF PROGRAMMING WITH PASCAL,BYRON S GOTTRIED,TMH,005.133 P  GOT/THE,195
157,06-12-2004,SCHAUMS OUTLINE OF THEORY AND PROBLEMS OF PROGRAMMING WITH PASCAL,BYRON S GOTTRIED,TMH,005.133 P  GOT/THE 1,195
158,06-12-2004,INSTRUMENTATION DEVICES AND SYSTEMS,CS RANGAN,TMH,621.381 54  RAN/INS,180
159,06-12-2004,THE TELECOMMUNICATIONS SURVIVAL GUIDE,PETE MOULTON,Pearson  Edu Asia,621.382  MOU/TEL,395
160,06-12-2004,COMPUTER ARCHITECTURE AND PARALLEL PROCESSING,KAI HWANG,MH,004.22  HWA/COM,384
161,06-12-2004,THE ART OF ELECTRONICS,PAUL HOROWITZ ,Cambrige Uni,621.38  HOR/ART,350
162,06-12-2004,DIGITAL SYSTEMS : PRINCIPLES AND APPLICATIONS,RONALD J TOCCI,PHI,621.39  TOC/DIG,295
163,06-12-2004,ENGINEERING MECHANICS: STATICS AND DYNAMICS,AK TAYAL,Umesh Pub,620.1  TAY/ENG,135
164,06-12-2004,ENGINEERING MECHANICS: STATICS AND DYNAMICS,AK TAYAL,Umesh Pub,620.1  TAY/ENG 1,135
165,06-12-2004,A TEXTBOOK OF ELECTRICAL TECHNOLOGY VOLI,BL THERAJA,S CHAND & CO,621.3  THE/TEX I,180
166,06-12-2004,A TEXTBOOK OF ELECTRICAL TECHNOLOGY VOLI,BL THERAJA,S CHAND & CO,621.3  THE/TEX I.1,180
167,06-12-2004,A TEXTBOOK OF ELECTRICAL TECHNOLOGY VOLII,BL THERAJA,SCHAND,621.3  THE/TEX II,160
168,06-12-2004,A TEXTBOOK OF ELECTRICAL TECHNOLOGY VOLII,BL THERAJA,SCHAND,621.3  THE/TEX II.1,160
169,06-12-2004,ENGINEERING PHYSICS,RK GAUR ,Dhanpat Rai Pub,530  GAU/ENG,225
170,06-12-2004,A COURSE IN ELECTRICAL AND ELECTRONIC MEASUREMENTS AND INSTRUMENTATION,AK SAWHNEY,DHANPAT RAI & CO,621.37  SAW/COU,250
171,06-12-2004,A COURSE IN ELECTRICAL AND ELECTRONIC MEASUREMENTS AND INSTRUMENTATION,AK SAWHNEY,DHANPAT RAI & CO,621.37  SAW/COU 1,250
172,06-12-2004,ENGINEERING DRAWING : PLANE AND SOLID GEOMETRY,ND BHATT,Charotar pub,604.2  BHA/ENG,125
173,06-12-2004,ENGINEERING DRAWING : PLANE AND SOLID GEOMETRY,ND BHATT,Charotar pub,604.2  BHA/ENG 1,125
174,06-12-2004,INTEGRATED CIRCUITS,KR BOTKAR,Khanna pub,621.392 1  BOT/INT,185
175,06-12-2004,THERMAL ENGINEERING,PL BALLANEY,Khanna pub,621.402  BAL/THE,260
176,06-12-2004,THERMAL ENGINEERING,PL BALLANEY,Khanna pub,621.402  BAL/THE 1,260
177,06-12-2004,NETWORK ANALYSIS,GK MITHAL,Khanna pub,621.319 2  MIT/NET,150
178,06-12-2004,NETWORK ANALYSIS,GK MITHAL,Khanna pub,621.319 2  MIT/NET 1,150
179,06-12-2004,ADVANCED ENGINEERING MATHEMATICS,HK DASS,SCHAND & CO,510  DAS/ADV,200
180,06-12-2004,A TEXT BOOK OF OPTICS,N SUBRAHMANYAM,SCHAND & CO,535  SUB/TEX,125
181,06-12-2004,A TEXT BOOK OF APPLIED MECHANICS,IB PRASAD,Khanna pub,620.1  PRA/TEX,175
182,06-12-2004,ENGINEERING GRAPHICS (FOR DEGREE):INCLUDING THE LATEST UNIVERSITY EXAMQUESTIONS SOLVED,PI VARGHESE,VIPPub,604.2  VAR/ENG,170
183,06-12-2004,ENGINEERING GRAPHICS (FOR DEGREE):INCLUDING THE LATEST UNIVERSITY EXAMQUESTIONS SOLVED,PI VARGHESE,VIPPub,604.2  VAR/ENG 1,170
184,06-12-2004,INTRODUCTION TO COMPUTERS AND BASIC PROGRAMMING,C XAVIER,NEW AGE,004.1  XAV/INT,220
185,06-12-2004,FUNDAMENTALS OF COMPUTER SCIENCE AND COMMUNICATION ENGINEERING,ALEXIS LEON ,Leon Tech World,004.1  LEO/FUN,150
186,06-12-2004,BASIC ELECTRONICS AND LINEAR CIRCUITS,NN BHARGAVA ,TMH,621.381 5  BHA/BAS 1,140
187,06-12-2004,RADIO FREQUENCY AND MICROWAVE ELECTRONICS +CD,MATTHEW M RADMANESH,Pearson Edu Asia,621.384  RAD/RAD,450
188,06-12-2004,TRANSDUCERS AND INSTRUMENTATION,DVS MURTY,PHI,621.381 54  MUR/TRA,295
189,06-12-2004,OP-AMPS AND LINEAR INTEGRATED CIRCUITS,RAMAKANT A GAYAKWAD,PHI,621.392  GAY/OPA 1,195
190,06-12-2004,THE DESIGNERS GUIDE TO VHDL,PETER J ASHENDEN,Harcourt Pub,005.13  ASH/DES,371.2
191,06-12-2004,OPTICAL ELECTRONICS,AJOY GHATAK ,Cambridge Uni,537.5  GHA/OPT,195
192,06-12-2004,ELECTRICAL ENGINEERING MATERIALS,ANDRIANUS J DEKKER,PHI,620.11  DEK/ELE,95
193,06-12-2004,"PRINCIPLES OF COMMUNICATIONS SYSTEMS, MODULATION AND NOISE",RE ZIEMER,JAICO PUB,621.382  ZIE/PRI,250
194,06-12-2004,ELECTRONIC COMMUNICATIONS MODULATION AND TRANSMISSION,ROBERT J SCHOENBECK,PHI,621.382  SCH/ELE,225
195,06-12-2004,ELECTRONICS- ANALOG AND DIGITAL,IJ NAGRATH,PHI,621.39  NAG/ELE,350
196,06-12-2004,"NETWORKS,LINES AND FIELDS",JOHN D RYDER,PHI,621.319 2  RYD/NET 4,125
197,06-12-2004,MODERN ELECTRONIC INSTRUMENTATION AND MEASUREMENT TECHNIQUES,ALBERT D HELFRICK ,PHI,621.381 54  HEL/MOD 2,175
198,06-12-2004,NETWORK ANALYSIS,ME VAN VALKENBURG,PHI,621.319 2  VAL/NET 2,195
199,06-12-2004,FUNDAMENTALS OF DIGITAL IMAGE PROCESSING,ANIL K JAIN,PHI,006.69  JAI/FUN 1,175
200,06-12-2004,SOLID STATE ELECTRONIC DEVICES,BEN G STREETMAN,PHI,621.381 5  STR/SOL,195
201,06-12-2004,MICROWAVE DEVICES AND CIRCUITS,SAMUEL Y LIAO,PHI,621.381 3  LIA/MIC,175
202,06-12-2004,PRINCIPLES OF DYNAMICS,DONALD T GREENWOOD,PHI,531.11  GRE/PRI,75
203,06-12-2004,ENGINEERING MECHANICS: STATICS AND DYNAMICS,IRVING H SHAMES,PHI,620.1  SHA/ENG,395
204,06-12-2004,DICTIONARY OF SCIENCE AND TECHNOLOGY,PETER MB WALKER,Allied Chamers,603  WAL/LAR,375
205,06-12-2004,MASTERING THE INTERNET +CD,GLEE HARRAH CADY ,BPB,004.678  CAD/MAS,450
