Acc.No,Acc.Date,Title,Author,Publisher,Callno,price
26271,08-09-2015,INTRODUCTION TO ENVIRONMENTAL ENIGINEERING,MACKENZIE L. DAVIS,TMH,620.8  DAV/INT,895
26272,08-09-2015,BUILDING CONSTRUCTION METRIC VOLI,WB MCKAY,PEARSON,690  MCK/BUI I 1,425
26273,08-09-2015,BUILDING CONSTRUCTION METRIC VOLII,WB MCKAY,PEARSON,690  MCK/BUI II 1,425
26274,08-09-2015,BUILDING CONSTRUCTION METRIC VOLIII,WB MCKAY,ORIENT,690  MCK/BUI III 1,425
26275,06-12-2004,BUILDING CONSTRUCTION METRIC VOL IV,J. K. MCKAY,PEARSON,690  MCK/BUI IV,425
26276,06-12-2004,CONSTRUCTION TECHNOLOGY VOL I,ROY CHUDLEY,PEARSON,690.8  CHU/CON I,350
26277,06-12-2004,CONSTRUCTION TECHNOLOGY VOL II,ROY CHUDLEY,PEARSON,690.8  CHU/CON II,350
26278,06-12-2004,CONSTRUCTION TECHNOLOGY VOL III,ROY CHUDLEY,PEARSON,690.8  CHU/CON III,350
26279,09-09-2015,CONSTRUCTION TECHNOLOGY VOL IV,ROY CHUDLEY,PEARSON,690.8  CHU/CON IV,350
26280,06-12-2004,ENGINEERING MECHANICS,JAGET BABU,PEARSON,620.1  BAB/ENG,450
26281,06-12-2004,ENGINEERING MECHANICS,JAGET BABU,PEARSON,620.1  BAB/ENG 1,
26282,08-09-2015,BASIC CIVIL ENGINEERING,SATHEESH GOPI,PEARSON,624  GOP/BAS 1,450
26283,08-09-2015,BASIC CIVIL ENGINEERING,SATHEESH GOPI,PEARSON,624  GOP/BAS 2,450
26284,08-09-2015,BASIC CIVIL ENGINEERING,SATHEESH GOPI,PEARSON,624  GOP/BAS 3,450
26285,08-09-2015,BASIC CIVIL ENGINEERING,SATHEESH GOPI,PEARSON,624  GOP/BAS 4,450
26286,08-09-2015,BASIC CIVIL ENGINEERING,SATHEESH GOPI,PEARSON,624  GOP/BAS 5,450
26287,08-09-2015,BASIC CIVIL ENGINEERING,SATHEESH GOPI,PEARSON,624  GOP/BAS 6,450
26288,08-09-2015,BASIC CIVIL ENGINEERING,SATHEESH GOPI,PEARSON,624  GOP/BAS 7,450
26289,08-09-2015,BASIC CIVIL ENGINEERING,SATHEESH GOPI,PEARSON,624  GOP/BAS 8,450
26290,08-09-2015,BASIC CIVIL ENGINEERING,SATHEESH GOPI,PEARSON,624  GOP/BAS 9,450
26291,08-09-2015,ENGINEERING MECHANICS STATICS & DYNAMICS,R.C. HIBBELER,PEARSON,620.1  HIB/ENG,775
26292,08-09-2015,TEXTBOOK OF ENVIRONMENTAL STUDIES FOR UNDERGRADUATE COURSES,ERACH BHARUCHA,UNIVERSITY PRESS,620.8  BHA/TEX,250
26293,08-09-2015,ESSENTIALS OF CIVIL ENGINEERING,RANGWALA,CHAROTAR,624  RAN/ESS,275
26294,08-09-2015,ESSENTIALS OF CIVIL ENGINEERING,RANGWALA,CHAROTAR,624  RAN/ESS 1,275
26295,24-05-2016,ENGINEERING MECHANICS : STATICS AND DYNAMICS,A K TAYAL,UMESH,620.1  TAY/ENG,395
26296,24-05-2016,ENGINEERING MECHANICS : STATICS AND DYNAMICS,A K TAYAL,UMESH,620.1  TAY/ENG 1,395
26297,24-05-2016,ENGINEERING MECHANICS : STATICS AND DYNAMICS,A K TAYAL,UMESH,620.1  TAY/ENG 2,395
26298,24-05-2016,ENGINEERING MECHANICS : STATICS AND DYNAMICS,A K TAYAL,UMESH,620.1  TAY/ENG 3,395
26299,24-05-2016,ENGINEERING MECHANICS : STATICS AND DYNAMICS,A K TAYAL,UMESH,620.1  TAY/ENG 4,395
26300,09-09-2015,COMPUTER FUNDAMENTALS AND PROGRAMMING IN C,REEMA THAREJA,OXFORD,005.133 C  THA/COM,495
26301,09-09-2015,COMPUTER FUNDAMENTALS AND PROGRAMMING IN C,REEMA THAREJA,OXFORD,005.133 C  THA/COM 1,495
26302,09-09-2015,COMPUTER FUNDAMENTALS,ANITA GOEL,PEARSON,004.1  GOE/COM  12,425
26303,09-09-2015,COMPUTER FUNDAMENTALS,ANITA GOEL,PEARSON,004.1  GOE/COM   13,425
26304,09-09-2015,HOW TO THINK LIKE ACOMPUTER SCIENTIST LEARNING WITH PYTHON,ALLEN DOWNEY,DREAMTECH,005.133 PY  DOW/HOW,299
26305,09-09-2015,HOW TO THINK LIKE ACOMPUTER SCIENTIST LEARNING WITH PYTHON,ALLEN DOWNEY,DREAMTECH,005.133 PY  DOW/HOW 1,299
